bin	genus_type	genus_proposed	species_proposed	language	gender	genus_explanation	species_explanation	genus_status	species_status	novelty_method	accession	sequencing_technology	binning_workflow	genome_size	total_contigs	coverage	GC_content	completeness_estimate	contamination_estimate	count_16S	count_tRNA	taxonomy_GTDB	taxonomy_proposed	taxonomy_SILVA	taxonomy_SILVA_perc	sample_name	sample_country	longitude	latitude	sample_type	sample_habitat_broad	sample_habitat_local
MFD01872.bin.1.96	Y	Grimstrupium	europaeum	N.L.	neut.	Microbe found nearby Grimstrup	A species from Europe	Formerly ''JAIQEU01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963796205.1	Oxford Nanopore PromethION	mmlong2	5429133	6	33.049377	57.92	96.35	2.6	1	23	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__JAIQEU01;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Grimstrupium;s__Grimstrupium europaeum	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Terriglobales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	98.9	MFD01872	Denmark	8.4984	55.6264	Soil	"Bogs, mires and fens"	Alkaline fens
MFD01299.bin.1.8	Y	Lyneplasma	lacustre	N.L.	neut.	Microbe found nearby Lyne	A species found in a lake	Formerly ''UBA8941'' in GTDB R220	Formerly ''uncultured crenarchaeote'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963769425.1	Oxford Nanopore PromethION	mmlong2	2551316	6	30.806074	54.73	91.26	4.9	1	21	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__UBA8941;s__Unclassified	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Lyneplasmatales;f__Lyneplasmataceae;g__Lyneplasma;s__Lyneplasma lacustre	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__uncultured crenarchaeote	99	MFD01299	Denmark	8.627054339	55.80287147	Sediment	Freshwater	"Lake, Rich pondweed"
MFD01872.bin.1.329	Y	Oeseiella	borealis	N.L.	fem.	Microbe found nearby Oese	A species from the north	Formerly ''JAJXXT01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963764465.1	Oxford Nanopore PromethION	mmlong2	4222900	7	47.249622	69.27	98.78	0.08	1	22	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__JAJXXT01;s__Unclassified	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Oeseiella;s__Oeseiella borealis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Incertae Sedis;s__uncultured bacterium	99	MFD01872	Denmark	8.4984	55.6264	Soil	"Bogs, mires and fens"	Alkaline fens
MFD02979.bin.1.145	Y	Lerbjergius	septentrionalis	N.L.	masch.	Microbe found nearby Lerbjerg	A species from the north	Formerly ''FEB-25'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963726315.1	Oxford Nanopore PromethION	mmlong2	4520061	7	32.28764	49.79	94.9	1.22	1	23	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__FEB-25;s__Unclassified	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Haldumiellaceae;g__Lerbjergius;s__Lerbjergius septentrionalis	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__RBG-16-58-14;s__uncultured Chloroflexi bacterium	98.4	MFD02979	Denmark	10.0517	56.323	Sediment	Freshwater	"Rainwater basin, City"
MFD01299.bin.1.39	Y	Tistrupibacterium	lacustre	N.L.	neut.	Microbe found nearby Tistrup	A species found in a lake	Formerly ''SCQP01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963798545.1	Oxford Nanopore PromethION	mmlong2	3901469	7	28.271236	70.18	94.48	0.64	1	23	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SCQP01;g__SCQP01;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Tistrupibacteriaceae;g__Tistrupibacterium;s__Tistrupibacterium lacustre	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Terriglobales;f__Acidobacteriaceae (Subgroup 1);g__Incertae Sedis;s__uncultured Acidobacteria bacterium	94.8	MFD01299	Denmark	8.627054339	55.80287147	Sediment	Freshwater	"Lake, Rich pondweed"
MFD01872.bin.1.273	Y	Hostrupibacterium	europaeum	N.L.	neut.	Microbe found nearby Hostrup	A species from Europe	Formerly ''CAIXSE01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963709845.1	Oxford Nanopore PromethION	mmlong2	3691472	7	26.913435	70.2	93.27	3.46	2	23	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__CAIXSE01;s__Unclassified	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Nebelibacteriales;f__Nebelibacteriaceae;g__Hostrupibacterium;s__Hostrupibacterium europaeum	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	99.5	MFD01872	Denmark	8.4984	55.6264	Soil	"Bogs, mires and fens"	Alkaline fens
MFD09368.bin.1.28	Y	Rinkenaesium	glebicum	N.L.	neut.	Microbe found nearby Rinkenaes	A species found in soil	Formerly ''JAENWD01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963796915.1	Oxford Nanopore PromethION	mmlong2	5217436	7	21.01794	67.53	100	0.55	1	23	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JAENWD01;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Pjedstedimenaceae;g__Rinkenaesium;s__Rinkenaesium glebicum	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured Acidobacteria bacterium	96.7	MFD09368	Denmark	9.3861	54.8519	Soil	Grassland formations	Semi-natural dry grasslands
MFD01872.bin.1.291	Y	Guldagerisoma	danicum	N.L.	neut.	Microbe found nearby Guldager	A species from Denmark	Formerly ''FEB-12'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963821635.1	Oxford Nanopore PromethION	mmlong2	3568790	7	13.535556	55.53	91.71	2.14	1	23	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__FEB-12;s__Unclassified	d__Bacteria;p__Zixibacteria;c__Loejtimicrobiia;o__Guldagerisomatales;f__Guldagerisomataceae;g__Guldagerisoma;s__Guldagerisoma danicum	d__Bacteria;p__Zixibacteria;c__Incertae Sedis;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	94.7	MFD01872	Denmark	8.4984	55.6264	Soil	"Bogs, mires and fens"	Alkaline fens
MFD01299.bin.1.58	Y	Horneus	adiacens	N.L.	masch.	Microbe found nearby Horne	A species related to but distinct from the existing species	Formerly ''JAKALD01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963817785.1	Oxford Nanopore PromethION	mmlong2	5258849	8	92.44172	67.29	99.57	2.9	1	22	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__JAKALD01;s__Unclassified	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Henneviventaceae;g__Horneus;s__Horneus adiacens	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__MND1;s__uncultured bacterium	98.9	MFD01299	Denmark	8.627054339	55.80287147	Sediment	Freshwater	"Lake, Rich pondweed"
MFD01299.bin.1.190	Y	Skovlundivita	sediminis	N.L.	fem.	Microbe found nearby Skovlund	A species found in sediments	Formerly ''CAINCZ01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963837635.1	Oxford Nanopore PromethION	mmlong2	4307464	8	29.84267	59.85	99.93	4.44	1	23	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__CAINCZ01;g__CAINCZ01;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Skovlundivitaceae;g__Skovlundivita;s__Skovlundivita sediminis	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Terriglobales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured soil bacterium	97.8	MFD01299	Denmark	8.627054339	55.80287147	Sediment	Freshwater	"Lake, Rich pondweed"
MFD02979.bin.1.52	Y	Rudicoccus	vicinus	N.L.	masch.	Microbe found nearby Rud	A species related to but distinct from the existing species	Formerly ''JAJRAN01'' in GTDB R220	Formerly ''uncultured archaeon'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963827135.1	Oxford Nanopore PromethION	mmlong2	1985378	8	12.12359	58	95.18	0.82	1	22	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__UBA472;g__JAJRAN01;s__Unclassified	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Rudicoccaceae;g__Rudicoccus;s__Rudicoccus vicinus	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Incertae Sedis;s__uncultured archaeon	99.3	MFD02979	Denmark	10.0517	56.323	Sediment	Freshwater	"Rainwater basin, City"
MFD02979.bin.1.14	Y	Vitteniana	similis	N.L.	fem.	Microbe found nearby Vitten	A species related to but distinct from the existing species	Formerly ''JAIQFR01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963748015.1	Oxford Nanopore PromethION	mmlong2	4827188	9	25.01768	69.31	100	1.74	1	23	d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__JAIQFR01;g__JAIQFR01;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Vittenianaceae;g__Vitteniana;s__Vitteniana similis	d__Bacteria;p__Acidobacteriota;c__Subgroup 22;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	98.6	MFD02979	Denmark	10.0517	56.323	Sediment	Freshwater	"Rainwater basin, City"
MFD09368.bin.1.55	Y	Tinglevius	terreum	N.L.	masch.	Microbe found nearby Tinglev	A species found in soil	Formerly ''GAS188'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963794475.1	Oxford Nanopore PromethION	mmlong2	5253719	10	28.82765	63.7	97.58	0.77	1	22	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__GAS188;s__Unclassified	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Tinglevius;s__Tinglevius terreum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Incertae Sedis;s__uncultured bacterium	99.6	MFD09368	Denmark	9.3861	54.8519	Soil	Grassland formations	Semi-natural dry grasslands
MFD09368.bin.1.64	Y	Rinkenaesisoma	terreus	N.L.	neut.	Microbe found nearby Rinkenaes	A species found in soil	Formerly ''JALYMR01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963757125.1	Oxford Nanopore PromethION	mmlong2	5438908	10	26.98458	72.7	91.76	0.41	1	22	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__JALYMR01;s__Unclassified	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Rinkenaesisoma;s__Rinkenaesisoma terreus	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__Incertae Sedis;s__uncultured bacterium	99.9	MFD09368	Denmark	9.3861	54.8519	Soil	Grassland formations	Semi-natural dry grasslands
MFD04408.bin.c.5	Y	Starupiplasma	septentrionale	N.L.	neut.	Microbe found nearby Starup	A species from the north	Formerly ''COMBO-56-21'' in GTDB R220	Formerly ''uncultured Thermoplasmatales archaeon'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963705355.1	Oxford Nanopore PromethION	mmlong2	1975906	1	188.4558	56.01	98.53	1.87	1	22	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__Unclassified	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Starupiplasmatales;f__Starupiplasmataceae;g__Starupiplasma;s__Starupiplasma septentrionale	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured Thermoplasmatales archaeon	99.1	MFD04408	Denmark	9.5294	55.2455	Sediment	Freshwater	"Rainwater basin, City"
MFD04408.bin.1.29	Y	Starupisoma	danicum	N.L.	neut.	Microbe found nearby Soender Starup	A species from Denmark	Formerly ''JAPKZH01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963715635.1	Oxford Nanopore PromethION	mmlong2	4283307	1	60.38433	53.88	92	2.24	1	22	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__JAPKZH01;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Starupisomataceae;g__Starupisoma;s__Starupisoma danicum	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__uncultured bacterium	94.3	MFD04408	Denmark	9.5294	55.2455	Sediment	Freshwater	"Rainwater basin, City"
MFD04408.bin.1.100	Y	Hadersleviella	sediminis	N.L.	fem.	Microbe found nearby Haderslev	A species found in sediments	Formerly ''RBG-13-51-18'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963739395.1	Oxford Nanopore PromethION	mmlong2	1786244	2	62.12797	46.54	95.05	0.75	1	23	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__RBG-13-51-18;s__Unclassified	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Hadersleviellaceae;g__Hadersleviella;s__Hadersleviella sediminis	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF3;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	92.2	MFD04408	Denmark	9.5294	55.2455	Sediment	Freshwater	"Rainwater basin, City"
MFD04408.bin.1.174	Y	Aastrupimorpha	scandia	N.L.	fem.	Microbe found nearby Aastrup	A species from Scandinavia	Formerly ''JAIQGF01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963760215.1	Oxford Nanopore PromethION	mmlong2	4368774	2	43.40369	61.89	100	0.86	1	23	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__JAIQGF01;g__JAIQGF01;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Aastrupimorphaceae;g__Aastrupimorpha;s__Aastrupimorpha scandia	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Terriglobales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	99.2	MFD04408	Denmark	9.5294	55.2455	Sediment	Freshwater	"Rainwater basin, City"
MFD01721.bin.1.124	Y	Agedrupimicrobium	glebicum	N.L.	neut.	Microbe found nearby Agedrup	A species found in soil	Formerly ''JACCVC01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963741965.1	Oxford Nanopore PromethION	mmlong2	3384848	2	36.488712	66.32	94.1	0.39	2	23	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__JACCVC01;s__Unclassified	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Agedrupimicrobiaceae;g__Agedrupimicrobium;s__Agedrupimicrobium glebicum	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__Incertae Sedis;s__uncultured bacterium	96.4	MFD01721	Denmark	10.5019	55.4485	Soil	Coastal	Salicornia mud
MFD04408.bin.1.52	Y	Grarupibacterium	septentrionale	N.L.	neut.	Microbe found nearby Grarup	A species from the north	Formerly ''BS750m-G71'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963790795.1	Oxford Nanopore PromethION	mmlong2	707660	3	47.25429	38.35	100	3.59	2	20	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__RBG-13-42-11;g__BS750m-G71;s__Unclassified	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Grarupibacteriaceae;g__Grarupibacterium;s__Grarupibacterium septentrionale	d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	88	MFD04408	Denmark	9.5294	55.2455	Sediment	Freshwater	"Rainwater basin, City"
MFD04408.bin.1.9	Y	Hoptrupicoccus	nordicus	N.L.	masch.	Microbe found nearby Hoptrup	A species from the Nordic region	Formerly ''9FT-COMBO-48-23'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963754385.1	Oxford Nanopore PromethION	mmlong2	1977721	6	213.4649	47.84	96.22	0.83	1	23	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__Unclassified	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Hoptrupicoccales;f__Hoptrupicoccaceae;g__Hoptrupicoccus;s__Hoptrupicoccus nordicus	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	98.4	MFD04408	Denmark	9.5294	55.2455	Sediment	Freshwater	"Rainwater basin, City"
MFD01721.bin.1.119	Y	Bullerupicola	oricus	N.L.	masch.	Microbe found nearby Bullerup	A species found in the coast	Formerly ''UBA6224'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963800205.1	Oxford Nanopore PromethION	mmlong2	967355	6	38.448837	49.52	96.84	2.49	1	22	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA6224;s__Unclassified	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Sonderborgisomataceae;g__Bullerupicola;s__Bullerupicola oricus	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	96.1	MFD01721	Denmark	10.5019	55.4485	Soil	Coastal	Salicornia mud
MFD01721.bin.1.53	Y	Munkeboum	oricum	N.L.	neut.	Microbe found nearby Munkebo	A species found in the coast	Formerly ''SLCC01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963798845.1	Oxford Nanopore PromethION	mmlong2	4262375	6	33.012325	70.54	96.28	3.18	1	22	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__RSA9;g__SLCC01;s__Unclassified	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__Munkeboaceae;g__Munkeboum;s__Munkeboum oricum	d__Bacteria;p__Gemmatimonadota;c__BD2-11 terrestrial group;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	94.8	MFD01721	Denmark	10.5019	55.4485	Soil	Coastal	Salicornia mud
MFD04408.bin.1.32	Y	Vilstrupivita	propinqua	N.L.	fem.	Microbe found nearby Vilstrup	A species related to but distinct from the existing species	Formerly ''JADGNF01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963806385.1	Oxford Nanopore PromethION	mmlong2	2173723	7	25.90822	47.78	91.11	2.24	1	20	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__JADGNF01;s__Unclassified	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__Vilstrupivita;s__Vilstrupivita propinqua	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__uncultured archaeon	98.2	MFD04408	Denmark	9.5294	55.2455	Sediment	Freshwater	"Rainwater basin, City"
MFD01721.bin.1.242	Y	Oestrupibacter	litoralis	N.L.	masch.	Microbe found nearby Oestrup	A species found in the coast	Formerly ''UBA7803'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963822255.1	Oxford Nanopore PromethION	mmlong2	5412898	9	17.851988	67.12	98.45	1.59	1	22	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Azotimanducaceae_A;g__UBA7803;s__Unclassified	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Azotimanducaceae_A;g__Oestrupibacter;s__Oestrupibacter litoralis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__KI89A clade;g__Incertae Sedis;s__uncultured gamma proteobacterium	92.7	MFD01721	Denmark	10.5019	55.4485	Soil	Coastal	Salicornia mud
MFD04408.bin.1.133	Y	Bjerningiella	scandia	N.L.	fem.	Microbe found nearby Bjerning	A species from Scandinavia	Formerly ''RBG-13-51-36'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963769975.1	Oxford Nanopore PromethION	mmlong2	1556676	10	148.4566	47.53	90.22	4.84	1	22	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__Unclassified	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Hoptrupicoccales;f__Bjerningiellaceae;g__Bjerningiella;s__Bjerningiella scandia	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__SCGC-AB-539-J10;s__uncultured bacterium	96.8	MFD04408	Denmark	9.5294	55.2455	Sediment	Freshwater	"Rainwater basin, City"
MFD01721.bin.1.56	Y	Sedenicola	oricus	N.L.	masch.	Microbe found nearby Seden	A species found in the coast	Formerly ''JADGQF01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963837925.1	Oxford Nanopore PromethION	mmlong2	6476444	10	51.850452	64.8	97.99	2.35	1	22	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__CG2-30-64-16;f__CG2-30-64-16;g__JADGQF01;s__Unclassified	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Sedenicolales;f__Sedenicolaceae;g__Sedenicola;s__Sedenicola oricus	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SJA-15;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	94.6	MFD01721	Denmark	10.5019	55.4485	Soil	Coastal	Salicornia mud
MFD04408.bin.1.228	Y	Vilstrupimen	contiguum	N.L.	neut.	Microbe found nearby Vilstrup	A species related to but distinct from the existing species	Formerly ''PIYB01'' in GTDB R220	Formerly ''uncultured archaeon'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963714275.1	Oxford Nanopore PromethION	mmlong2	2643548	10	15.10227	43.43	91.11	4.92	1	22	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__B26-1;g__PIYB01;s__Unclassified	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Vilstrupimenaceae;g__Vilstrupimen;s__Vilstrupimen contiguum	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__uncultured archaeon	99	MFD04408	Denmark	9.5294	55.2455	Sediment	Freshwater	"Rainwater basin, City"
MFD10007.bin.c.4	Y	Ravnsnaesimen	vicinum	N.L.	neut.	Microbe found nearby Ravnsnaes	A species related to but distinct from the existing species	Formerly ''WS-9'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963703225.1	Oxford Nanopore PromethION	mmlong2	3123862	1	47.22345	66.3	90.88	0.14	1	22	d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__SZUA-252;f__SZUA-252;g__WS-9;s__Unclassified	d__Bacteria;p__Eisenbacteria;c__Ravnsnaesimenia;o__Ravnsnaesimenales;f__Ravnsnaesimenaceae;g__Ravnsnaesimen;s__Ravnsnaesimen vicinum	d__Bacteria;p__Latescibacterota;c__Incertae Sedis;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	95.4	MFD10007	Denmark	12.4931	55.8579	Sediment	Freshwater	Enclosed water
MFD10007.bin.1.119	Y	Horsholmimen	propinquum	N.L.	neut.	Microbe found nearby Horsholm	A species related to but distinct from the existing species	Formerly ''Fen-1135'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963705275.1	Oxford Nanopore PromethION	mmlong2	2924987	1	34.83219	48.95	99.33	0.87	1	21	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2185;g__Fen-1135;s__Unclassified	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Horsholmimenaceae;g__Horsholmimen;s__Horsholmimen propinquum	d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophia;o__Syntrophales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	98.9	MFD10007	Denmark	12.4931	55.8579	Sediment	Freshwater	Enclosed water
MFD10007.bin.c.3	Y	Holtecola	contiguus	N.L.	masch.	Microbe found nearby Gammel Holte	A species related to but distinct from the existing species	Formerly ''QUBU01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963717355.1	Oxford Nanopore PromethION	mmlong2	3589015	1	28.94489	66.98	92.07	1.47	1	22	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__QUBU01;s__Unclassified	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Holtecolales;f__Holtecolaceae;g__Holtecola;s__Holtecola contiguus	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JG36-GS-52;f__Incertae Sedis;g__Incertae Sedis;s__uncultured gamma proteobacterium	96.3	MFD10007	Denmark	12.4931	55.8579	Sediment	Freshwater	Enclosed water
